algoritimo,projeto,mean_acc,mean_gmean,mean_kappa,std_acc,std_gmean,std_kappa,mean_time,seed
ROSE,hive,0.7752252830975562,0.7484578637220102,0.4644208486164467,0.03540836303311238,0.034639655300520766,0.06305218330906932,0.0018589840000018398,170138027
ROSE,hadoop-hdfs,0.8444520335120326,0.7569686012299567,0.7569686012299567,0.06504204867551498,0.19320039836245476,0.19320039836245476,0.0014182660000017222,640748195
ROSE,hadoop-mapreduce,0.811344736395693,0.6883000636693346,0.6883000636693346,0.03832335766678874,0.22493545741203796,0.22493545741203796,0.0012247939999951996,312012035
ROSE,cassandra,0.7724792415564828,0.6986766945700322,0.42201546757469593,0.03243933162806532,0.13134121042953809,0.13331307034778014,0.0019225389999988352,35708312
ROSE,flink,0.8485325931782075,0.5760880979122689,0.3838404928437435,0.08293410757501643,0.2685621754717322,0.23235230351414995,0.002055366999996977,154954588
ROSE,spark,0.7160198635103401,0.6761511261663972,0.32830329670762587,0.03359916549139192,0.11615884476584505,0.10851323200458671,0.0013547179999875425,487010144
ROSE,kafka,0.7403709103774526,0.7315358323908284,0.41838593758417836,0.02439379195662869,0.040489180747370325,0.06739454483799966,0.0014756970000036063,40099995
ROSE,zeppelin,0.7907214285698252,0.6642383254084989,0.48712114364481707,0.07190086043175532,0.1675668119955204,0.12197632376688042,0.0012573599999967655,138413630
ROSE,ignite,0.8776302374037462,0.606362714764828,0.6718003781731418,0.06674625991455464,0.2950586721674019,0.1816966673878426,0.0020351330000067946,865616197
StreamingRandomPatches,groovy,0.8322167334477012,0.44468353346396067,0.21797633150826162,0.06784327248004901,0.15066848150590606,0.10286595158121759,0.0024507560000017747,296312153
StreamingRandomPatches,activemq,0.8162750210053535,0.5066829989711666,0.23814525400834172,0.06922644201790636,0.1892725744361325,0.14500953091083613,0.0020955909999997857,777255602
StreamingRandomPatches,camel,0.8696502598063004,0.4264187063656941,0.24044183539757716,0.06311201235539236,0.07268415536326742,0.04294327429333988,0.004649674000006598,404654160
StreamingRandomPatches,hbase,0.7666959015037065,0.715663707398147,0.4742492609873712,0.034114567807631314,0.10861570186558817,0.09769326260864647,0.0026422540000226036,744159689
StreamingRandomPatches,zookeeper,0.756797245045196,0.7374197183226295,0.5269985775192824,0.02861331219228508,0.09464126737626136,0.05354236590356101,0.0014386469999863039,509286733
StreamingRandomPatches,hive,0.7848006693212939,0.7056710322297713,0.47396283840126574,0.03858871812555646,0.03704121107621766,0.056621641174324354,0.0019354719999853387,984220863
StreamingRandomPatches,hadoop-hdfs,0.8567542069627437,0.7409939724770656,0.7409939724770656,0.07208189258177991,0.2248103523020122,0.2248103523020122,0.001634364000011601,127456163
StreamingRandomPatches,hadoop-mapreduce,0.824211298263435,0.6826586002670678,0.6826586002670678,0.03817626443605058,0.23379782770238644,0.23379782770238644,0.0012700199999926554,400974586
StreamingRandomPatches,cassandra,0.7737747316466445,0.6918006785053367,0.43436552489415764,0.0371108557829148,0.1423252044584949,0.12658629206324196,0.002393850999993674,850227119
StreamingRandomPatches,flink,0.8485690300419814,0.532420273278897,0.3714806556730949,0.08937159952723596,0.31495152714399977,0.24820962434462465,0.00277523100001531,696142704
StreamingRandomPatches,spark,0.7403745507581576,0.6863780674823262,0.3821675682845563,0.041256590405261084,0.13311550167512065,0.11733728303008989,0.0014722210000002178,643034166
StreamingRandomPatches,kafka,0.7672112432023556,0.7191922259789246,0.4269637303689916,0.026289602398298494,0.06238250277764176,0.08311623499341607,0.001428117000017437,996454455
StreamingRandomPatches,zeppelin,0.8235440778969582,0.6722169631934207,0.508446214219918,0.06416237461738354,0.20392811124029503,0.1298303829485474,0.0012786780000055842,680550241
StreamingRandomPatches,ignite,0.8739649340053317,0.5495945376666789,0.6394210525054125,0.06971305665960333,0.26903317427018414,0.202827159321546,0.0028453099999978804,512706501
